	Canada	Lithuania	Cambodia	Ethiopia	Argentina	Bolivia	Cameroon	Ghana	Saudi Arabia	Cape Verde	Guatemala	Germany	Spain	Liberia	Netherlands	Paraguay	Pakistan	Tanzania	New Zealand	Yemen	Jamaica	Albania	Samoa	Guam	India	Azerbaijan	Kenya	South Korea	Turkey	Afghanistan	Bangladesh	Saint Lucia	France	Bermuda	Somalia	Peru	Laos	Norway	Singapore	China	Armenia	Dominican Republic	Ukraine	Tonga	Finland	Indonesia	United States	Sweden	Vietnam	Russia	Bulgaria	Romania	Portugal	South Africa	Nicaragua	Malaysia	Austria	Uganda	Japan	Brazil	Kuwait	Panama	Guyana	Costa Rica	American Samoa	Bahamas	Ireland	Syria	Nigeria	Ecuador	Czech Republic	Australia	Iran	Algeria	Chile	Puerto Rico	Belgium	Thailand	Haiti	Iraq	Hong Kong	Sierra Leone	Georgia	Denmark	Philippines	Moldova	Morocco	Croatia	Switzerland	Grenada	Belize	Uruguay	Lebanon	Uzbekistan	Dominica	Colombia	Taiwan	Cyprus	Barbados	Italy	Sudan	Nepal	Venezuela	Israel	Senegal	Zimbabwe	Jordan	Poland	Eritrea	Macedonia	North Korea	Trinidad and Tobago	Latvia	Hungary	Belarus	Honduras	Myanmar	Mexico	Egypt	Cuba	United Kingdom	Greece	Sri Lanka	Fiji
Canada	28463	352	88	23	902	81	15	38	133	2	32	7266	1616	2	2937	46	1616	20	1383	9	125	36	0	2	16525	63	145	320	1118	18	513	1	3117	24	0	131	0	1171	1074	1577	180	115	1215	0	547	528	69229	2440	348	1989	530	1203	1068	1295	26	522	820	49	766	2831	37	22	3	143	1	5	1459	75	176	60	979	5366	965	59	318	66	1387	325	2	15	368	0	211	1378	1132	111	131	322	1308	0	3	162	176	43	0	337	320	78	7	2151	5	280	150	2452	7	12	116	1958	0	107	2	0	241	487	327	22	65	765	473	37	17814	540	544	9
Lithuania	220	737	7	1	19	0	0	1	3	0	2	314	90	1	168	1	138	0	34	2	4	4	0	0	1196	10	11	15	53	2	33	0	152	0	0	4	0	53	54	57	11	5	59	0	29	54	1559	95	26	98	35	83	43	67	2	31	43	2	23	80	3	1	0	3	0	0	54	2	8	4	43	197	85	3	8	1	66	13	1	1	17	0	11	72	60	6	7	16	64	0	0	4	16	0	0	17	18	4	1	103	0	19	7	99	0	1	6	117	0	7	0	0	7	23	22	0	5	26	19	1	686	31	54	0
Cambodia	65	4	251	0	10	0	1	1	3	0	0	85	15	0	44	0	35	0	18	0	1	0	0	0	361	0	1	15	11	0	14	0	34	0	0	2	0	9	11	21	0	1	12	0	5	10	519	28	9	20	4	15	8	17	0	17	4	0	10	39	0	1	0	2	0	0	19	1	5	0	10	54	8	1	1	0	23	2	0	1	4	0	3	16	35	1	1	3	14	0	0	2	0	0	0	4	1	0	1	43	3	9	2	30	0	0	0	22	0	2	0	0	0	9	2	0	1	6	3	0	149	7	23	0
Ethiopia	11	0	0	53	0	0	0	0	0	0	0	18	0	0	3	0	10	0	3	0	1	0	0	0	90	0	3	2	1	0	2	0	6	0	0	0	0	3	1	2	1	2	7	0	2	2	102	6	2	3	1	0	2	3	0	1	0	0	1	6	0	0	0	0	0	0	1	0	2	0	3	17	7	0	1	0	2	1	0	0	1	0	0	3	11	0	0	2	4	0	0	0	1	0	0	1	0	1	0	4	0	3	0	7	0	0	1	6	0	1	0	0	0	1	1	0	0	0	1	1	29	1	3	0
Argentina	825	34	8	1	1819	10	2	6	17	0	5	683	198	1	313	8	208	2	143	3	12	4	0	0	2037	4	22	31	139	7	78	0	315	0	1	15	0	136	98	144	9	12	164	0	66	75	6253	248	60	203	71	149	120	162	2	60	68	6	70	363	1	4	0	18	0	0	150	8	26	10	99	489	124	13	35	5	149	27	0	4	38	0	37	153	139	16	14	51	139	0	0	22	25	3	1	44	22	9	0	278	0	39	17	240	0	3	8	219	0	9	1	0	24	50	51	3	7	90	61	7	1818	66	73	1
Bolivia	45	0	0	0	3	101	0	0	2	0	0	33	8	0	12	1	7	0	3	1	2	1	0	0	139	1	0	1	8	0	3	0	15	0	0	0	0	4	14	13	1	0	13	0	1	4	283	11	3	11	2	8	4	5	1	2	3	0	2	25	0	1	0	1	0	0	5	0	1	0	5	34	8	1	1	0	3	2	0	1	3	0	1	5	5	1	2	1	10	0	0	2	0	1	0	2	1	0	0	6	0	3	0	12	0	0	0	13	0	2	0	0	1	3	4	0	2	8	4	0	73	1	7	0
Cameroon	9	1	0	0	0	0	21	0	0	0	0	4	0	0	4	0	1	0	0	0	0	0	0	0	17	0	2	0	0	0	1	0	7	0	0	0	0	0	0	1	1	0	1	0	0	1	31	2	0	0	0	1	1	0	0	1	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	7	1	0	0	0	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	8	1	3	0
Ghana	20	2	0	0	3	1	0	57	1	0	0	32	8	0	13	1	19	0	4	1	0	0	0	0	103	0	0	2	6	0	11	0	7	0	0	1	0	8	4	7	0	0	7	0	4	3	161	11	0	5	3	4	3	12	0	3	0	0	1	9	0	0	0	0	0	0	3	0	1	0	3	11	4	0	0	0	4	1	0	0	1	0	1	6	9	1	3	2	4	0	0	1	1	0	0	2	0	1	0	14	0	3	2	5	0	0	1	8	0	0	0	0	3	1	0	3	2	3	4	0	69	5	7	0
Saudi Arabia	59	2	2	1	7	0	1	0	304	0	0	95	24	1	29	2	53	0	15	0	2	1	0	0	431	5	6	4	19	1	20	0	28	0	0	0	1	13	15	17	1	1	31	0	2	17	504	23	8	33	7	21	14	17	0	17	6	0	6	36	2	0	0	1	0	0	14	3	3	0	13	52	22	0	3	0	21	5	0	0	7	0	1	11	30	0	2	6	13	0	0	1	3	0	0	1	2	1	0	27	0	11	3	27	0	0	3	29	0	1	0	0	2	5	4	0	1	7	13	1	147	11	16	0
Cape Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
